N,Permanent,barkEstimate,PreError,Error
14,168981448.0,157513473.64829606,-0.5893594714015371,-0.06786528632246033
12,2773507.0,3006420.113600836,-0.5270525898671774,0.0839778351382694
11,231732.0,283188.6931891356,-0.4076696767329762,0.22205260037084035
11,351830.0,414143.69084026397,-0.4526970940932958,0.17711306835762716
15,2586859294.0,2844322820.88074,-0.6384777768560598,0.09952745689643998
13,11487946.0,12062214.418758856,-0.581312365257772,0.049988781176274345
15,4208129876.0,5245921804.511627,-0.4185201712678122,0.24661594558438177
11,937810.0,954565.5135554676,-0.5756358264393012,0.017866639890241728
15,9696114830.0,10545683250.48959,-0.6209782496533227,0.08761946773371594
10,55616.0,61009.34080099895,-0.735957405897776,0.09697462602486606
11,2204048.0,2282839.841814115,-0.6203775603202596,0.0357486959513201
14,349747168.0,308019019.1867613,-0.6178957071758262,-0.11930946875669535
10,42978.0,42205.174860022875,-0.5681444978264969,-0.017981877704340017
14,393588619.0,474314423.317781,-0.7299673186390551,0.205101978108216
14,561316213.0,528519198.3450316,-0.5676545959371819,-0.05842876777009892
10,38482.0,37414.54569465197,-0.693007939824938,-0.027739054761915447
15,3795952149.0,4021308859.1609225,-0.43577926533962547,0.05936763723965545
12,20805069.0,20347441.162573133,-0.500130910007923,-0.02199597787572189
14,564563266.0,580165899.0933095,-0.5226594990822615,0.02763664239768218
11,1517382.0,1689635.5658917779,-0.5101092387483013,0.11352023807569739
12,6313652.0,5798907.784358245,-0.42304144616833206,-0.08152875952646023
15,2134658680.0,2165634670.627755,-0.4743862228372196,0.014510980569387873
10,156842.0,142899.85447755293,-0.6903750224953124,-0.0888929337960946
10,90314.0,84301.5582373407,-0.6105038890535837,-0.06657264391632865
11,353610.0,256699.98115644,-0.7766541281732784,-0.2740590448334606
11,980232.0,1014861.1595644292,-0.4015645619711024,0.03532751385838168
13,38785989.0,35988687.78223287,-0.6853198103580331,-0.07212143585579646
11,851846.0,715523.4560603115,-0.7599151508085094,-0.16003191180059362
13,48817838.0,56722134.93009998,-0.7687235520813985,0.1619141128310512
15,4282059288.0,4147266846.3074045,-0.6002829016992172,-0.031478415553548376
14,400974262.0,477501771.3158766,-0.453295040013233,0.19085391898763968
12,3295429.0,3795103.0008845166,-0.5667377570807174,0.15162638942745138
14,389158408.0,354897161.7296524,-0.6783102037895018,-0.08803933196876372
10,9338.0,16609.968121431848,-0.6777637652269916,0.7787500665487094
11,1112398.0,1064578.7655773049,-0.7828058867858585,-0.04298752283148219
12,1396084.0,2235307.659318985,-0.45678727517715456,0.601126908781266
13,39431417.0,41727141.67499842,-0.4987928857176647,0.0582206993727468
12,4168524.0,3582496.2830536473,-0.7248642915874765,-0.14058398534981512
13,44694225.0,35192422.32896862,-0.7425977753764527,-0.21259575864737285
14,304892292.0,299906966.8010465,-0.5436617079135595,-0.016351102765672768
11,1327024.0,1503516.6462392088,-0.4334875275281741,0.13299883516741878
15,6238503265.0,5731586280.127371,-0.6244316566926937,-0.08125618651457565
12,10080517.0,9126503.756272055,-0.6354511022772884,-0.09463931698423253
14,417755176.0,429619658.54296064,-0.6361251978550182,0.028400563833973044
11,338610.0,360446.9303341851,-0.5574229903995652,0.0644899156380056
10,239323.0,219976.4006265261,-0.7457489975792988,-0.08083886368411687
10,67742.0,80029.47401214883,-0.46932170598481765,0.18138634838281759
14,1486639624.0,1375475575.8913581,-0.5998100938408453,-0.07477538356574967
15,1265631505.0,1649206566.898482,-0.49764132732126526,0.3030700961402522
10,116965.0,115694.85952624057,-0.4275092661205356,-0.010859149948783205
15,6367603062.0,6919019342.0072,-0.49641790637607447,0.08659715039366885
10,104413.0,108510.71354475548,-0.6950941271524197,0.03924524287929162
14,307988830.0,288965618.6018717,-0.773714870620795,-0.061765913387600034
