Matrix,Number of Ones,Time for Apprx,Time for Calc,Calc Perm,Actual Perm,Relative Error
"[[0 0 0]
 [0 0 0]
 [0 0 2]]",1,0.00013208389282226562,1.7404556274414062e-05,0,0.0,inf
"[[0 0 0]
 [0 0 0]
 [0 2 0]]",1,0.0001685619354248047,1.7642974853515625e-05,0,0.0,inf
"[[0 0 0]
 [0 0 0]
 [0 2 2]]",2,0.0001742839813232422,1.8358230590820312e-05,0,0.0,inf
"[[0 0 0]
 [0 0 0]
 [2 0 0]]",1,0.00017595291137695312,1.8596649169921875e-05,0,0.0,inf
"[[0 0 0]
 [0 0 0]
 [2 0 2]]",2,0.00016641616821289062,1.6689300537109375e-05,0,0.0,inf
"[[0 0 0]
 [0 0 0]
 [2 2 0]]",2,0.0002186298370361328,1.811981201171875e-05,0,0.0,inf
"[[0 0 0]
 [0 0 0]
 [2 2 2]]",3,0.00019216537475585938,2.193450927734375e-05,0,0.0,inf
"[[0 0 0]
 [0 0 2]
 [0 0 0]]",1,0.0001518726348876953,1.71661376953125e-05,0,0.0,inf
"[[0 0 0]
 [0 0 2]
 [0 0 2]]",2,0.00018453598022460938,1.7881393432617188e-05,0,0.0,inf
"[[0 0 0]
 [0 0 2]
 [0 2 0]]",2,0.00015687942504882812,1.811981201171875e-05,0,0.0,inf
"[[0 0 0]
 [0 0 2]
 [0 2 2]]",3,0.00016355514526367188,1.7642974853515625e-05,0,0.0,inf
"[[0 0 0]
 [0 0 2]
 [2 0 0]]",2,0.00017380714416503906,1.8358230590820312e-05,0,0.0,inf
"[[0 0 0]
 [0 0 2]
 [2 0 2]]",3,0.00016236305236816406,1.7404556274414062e-05,0,0.0,inf
"[[0 0 0]
 [0 0 2]
 [2 2 0]]",3,0.00015783309936523438,1.6927719116210938e-05,0,0.0,inf
"[[0 0 0]
 [0 0 2]
 [2 2 2]]",4,0.00018358230590820312,1.7642974853515625e-05,0,0.0,inf
"[[0 0 0]
 [0 2 0]
 [0 0 0]]",1,0.00016021728515625,1.6927719116210938e-05,0,0.0,inf
"[[0 0 0]
 [0 2 0]
 [0 0 2]]",2,0.00016379356384277344,1.811981201171875e-05,0,0.0,inf
"[[0 0 0]
 [0 2 0]
 [0 2 0]]",2,0.0001678466796875,2.3365020751953125e-05,0,0.0,inf
"[[0 0 0]
 [0 2 0]
 [0 2 2]]",3,0.00016164779663085938,1.7404556274414062e-05,0,0.0,inf
"[[0 0 0]
 [0 2 0]
 [2 0 0]]",2,0.00018835067749023438,1.6689300537109375e-05,0,0.0,inf
"[[0 0 0]
 [0 2 0]
 [2 0 2]]",3,0.00015735626220703125,1.7642974853515625e-05,0,0.0,inf
"[[0 0 0]
 [0 2 0]
 [2 2 0]]",3,0.0001785755157470703,1.6450881958007812e-05,0,0.0,inf
"[[0 0 0]
 [0 2 0]
 [2 2 2]]",4,0.00016498565673828125,1.621246337890625e-05,0,0.0,inf
"[[0 0 0]
 [0 2 2]
 [0 0 0]]",2,0.00024056434631347656,1.7881393432617188e-05,0,0.0,inf
"[[0 0 0]
 [0 2 2]
 [0 0 2]]",3,0.00016880035400390625,1.7642974853515625e-05,0,0.0,inf
"[[0 0 0]
 [0 2 2]
 [0 2 0]]",3,0.00015163421630859375,1.7642974853515625e-05,0,0.0,inf
"[[0 0 0]
 [0 2 2]
 [0 2 2]]",4,0.00022101402282714844,1.9311904907226562e-05,0,0.0,inf
"[[0 0 0]
 [0 2 2]
 [2 0 0]]",3,0.000152587890625,1.7404556274414062e-05,0,0.0,inf
"[[0 0 0]
 [0 2 2]
 [2 0 2]]",4,0.00018858909606933594,1.811981201171875e-05,0,0.0,inf
"[[0 0 0]
 [0 2 2]
 [2 2 0]]",4,0.0002522468566894531,2.002716064453125e-05,0,0.0,inf
"[[0 0 0]
 [0 2 2]
 [2 2 2]]",5,0.0001819133758544922,1.8358230590820312e-05,1,0.0,inf
"[[0 0 0]
 [2 0 0]
 [0 0 0]]",1,0.0001678466796875,1.8358230590820312e-05,0,0.0,inf
"[[0 0 0]
 [2 0 0]
 [0 0 2]]",2,0.00015163421630859375,1.811981201171875e-05,0,0.0,inf
"[[0 0 0]
 [2 0 0]
 [0 2 0]]",2,0.00016498565673828125,1.7642974853515625e-05,0,0.0,inf
"[[0 0 0]
 [2 0 0]
 [0 2 2]]",3,0.000156402587890625,1.7881393432617188e-05,0,0.0,inf
"[[0 0 0]
 [2 0 0]
 [2 0 0]]",2,0.0002727508544921875,2.0503997802734375e-05,0,0.0,inf
"[[0 0 0]
 [2 0 0]
 [2 0 2]]",3,0.00014972686767578125,1.7881393432617188e-05,0,0.0,inf
"[[0 0 0]
 [2 0 0]
 [2 2 0]]",3,0.0002682209014892578,1.7404556274414062e-05,0,0.0,inf
"[[0 0 0]
 [2 0 0]
 [2 2 2]]",4,0.00015854835510253906,1.7642974853515625e-05,1,0.0,inf
"[[0 0 0]
 [2 0 2]
 [0 0 0]]",2,0.00014448165893554688,1.6689300537109375e-05,0,0.0,inf
"[[0 0 0]
 [2 0 2]
 [0 0 2]]",3,0.00017333030700683594,1.8596649169921875e-05,0,0.0,inf
"[[0 0 0]
 [2 0 2]
 [0 2 0]]",3,0.00017499923706054688,1.8358230590820312e-05,0,0.0,inf
"[[0 0 0]
 [2 0 2]
 [0 2 2]]",4,0.00019621849060058594,1.9550323486328125e-05,0,0.0,inf
"[[0 0 0]
 [2 0 2]
 [2 0 0]]",3,0.00016236305236816406,1.71661376953125e-05,0,0.0,inf
"[[0 0 0]
 [2 0 2]
 [2 0 2]]",4,0.0001964569091796875,2.384185791015625e-05,0,0.0,inf
"[[0 0 0]
 [2 0 2]
 [2 2 0]]",4,0.00017499923706054688,1.7881393432617188e-05,1,0.0,inf
"[[0 0 0]
 [2 0 2]
 [2 2 2]]",5,0.0002751350402832031,3.266334533691406e-05,1,0.0,inf
"[[0 0 0]
 [2 2 0]
 [0 0 0]]",2,0.0002446174621582031,1.7404556274414062e-05,0,0.0,inf
"[[0 0 0]
 [2 2 0]
 [0 0 2]]",3,0.0001647472381591797,2.0503997802734375e-05,0,0.0,inf
"[[0 0 0]
 [2 2 0]
 [0 2 0]]",3,0.00016951560974121094,3.409385681152344e-05,0,0.0,inf
"[[0 0 0]
 [2 2 0]
 [0 2 2]]",4,0.00015687942504882812,1.7642974853515625e-05,1,0.0,inf
"[[0 0 0]
 [2 2 0]
 [2 0 0]]",3,0.000171661376953125,1.7404556274414062e-05,0,0.0,inf
"[[0 0 0]
 [2 2 0]
 [2 0 2]]",4,0.000152587890625,1.6927719116210938e-05,1,0.0,inf
"[[0 0 0]
 [2 2 0]
 [2 2 0]]",4,0.00016355514526367188,1.7642974853515625e-05,1,0.0,inf
"[[0 0 0]
 [2 2 0]
 [2 2 2]]",5,0.0001552104949951172,1.6927719116210938e-05,1,0.0,inf
"[[0 0 0]
 [2 2 2]
 [0 0 0]]",3,0.0003151893615722656,1.9550323486328125e-05,0,0.0,inf
"[[0 0 0]
 [2 2 2]
 [0 0 2]]",4,0.00016617774963378906,2.09808349609375e-05,0,0.0,inf
"[[0 0 0]
 [2 2 2]
 [0 2 0]]",4,0.0002186298370361328,2.002716064453125e-05,0,0.0,inf
"[[0 0 0]
 [2 2 2]
 [0 2 2]]",5,0.00016927719116210938,1.7642974853515625e-05,1,0.0,inf
"[[0 0 0]
 [2 2 2]
 [2 0 0]]",4,0.00016307830810546875,1.7881393432617188e-05,0,0.0,inf
"[[0 0 0]
 [2 2 2]
 [2 0 2]]",5,0.0002434253692626953,2.1696090698242188e-05,1,0.0,inf
"[[0 0 0]
 [2 2 2]
 [2 2 0]]",5,0.00018644332885742188,2.193450927734375e-05,1,0.0,inf
"[[0 0 0]
 [2 2 2]
 [2 2 2]]",6,0.00016188621520996094,1.811981201171875e-05,2,0.0,inf
"[[0 0 2]
 [0 0 0]
 [0 0 0]]",1,0.0001666545867919922,1.811981201171875e-05,0,0.0,inf
"[[0 0 2]
 [0 0 0]
 [0 0 2]]",2,0.00015974044799804688,1.7881393432617188e-05,0,0.0,inf
"[[0 0 2]
 [0 0 0]
 [0 2 0]]",2,0.0001652240753173828,1.811981201171875e-05,0,0.0,inf
"[[0 0 2]
 [0 0 0]
 [0 2 2]]",3,0.000156402587890625,1.6450881958007812e-05,0,0.0,inf
