N,M,error,timePerm,timeBark
13.0,2.0,0.011005287977195074,0.030518531799316406,0.009183168411254883
12.0,2.0,0.0068241617993269775,0.016355276107788086,0.007256269454956055
12.0,2.0,0.004916915394158355,0.015681028366088867,0.00647425651550293
10.0,3.0,0.014480795829093913,0.005108833312988281,0.032526254653930664
12.0,3.0,0.003566855288929081,0.015268325805664062,0.10873126983642578
12.0,2.0,0.0007064787456059347,0.022368431091308594,0.008296012878417969
11.0,3.0,0.0008827627109375483,0.009418010711669922,0.07543683052062988
13.0,2.0,0.006843497702423239,0.045716047286987305,0.010869741439819336
15.0,3.0,0.00584610209841309,0.15405631065368652,0.4933431148529053
13.0,3.0,0.00703123576773502,0.02794790267944336,0.16153168678283691
11.0,4.0,0.002533515274613195,0.006936788558959961,0.2798645496368408
13.0,4.0,0.003208701714146116,0.030063152313232422,1.2207627296447754
12.0,2.0,0.022994780619462453,0.017665624618530273,0.006682634353637695
10.0,4.0,0.0007414864004939072,0.0038695335388183594,0.12324905395507812
10.0,2.0,0.0020964236380441184,0.0035326480865478516,0.002671957015991211
14.0,4.0,0.0019627727582427613,0.05852055549621582,2.3819711208343506
12.0,3.0,0.010522440064592221,0.014006853103637695,0.09253525733947754
11.0,4.0,0.002660943517633459,0.007422208786010742,0.27723097801208496
15.0,2.0,0.006004079109322681,0.11137866973876953,0.014264583587646484
14.0,2.0,0.0008171595215018272,0.05592918395996094,0.010573387145996094
12.0,4.0,0.009125599190932808,0.013852119445800781,0.6208615303039551
15.0,4.0,0.002785431182556466,0.11936402320861816,4.310590982437134
12.0,4.0,0.0013253939244088798,0.013986349105834961,0.6438376903533936
10.0,4.0,0.013561499377405735,0.003437042236328125,0.11807656288146973
14.0,4.0,0.003302753026001085,0.054265499114990234,2.291959047317505
14.0,4.0,0.002950331927428678,0.06101393699645996,2.3030290603637695
13.0,4.0,0.008228331599075094,0.028874874114990234,1.1912193298339844
10.0,4.0,0.0033602117011221444,0.0037429332733154297,0.11855578422546387
13.0,4.0,0.003848461110191417,0.027802228927612305,1.1949963569641113
14.0,3.0,0.0006717432800266223,0.05663919448852539,0.25731706619262695
13.0,2.0,0.0010515895823036971,0.02711200714111328,0.008012771606445312
11.0,3.0,3.820418843052293e-05,0.006943941116333008,0.04958677291870117
14.0,2.0,0.0037010518978493317,0.05525994300842285,0.010562419891357422
13.0,4.0,0.002579840859008391,0.02808690071105957,1.239680290222168
15.0,2.0,0.012845005254423383,0.10845708847045898,0.01435708999633789
11.0,2.0,0.01828024287953092,0.00660252571105957,0.0039691925048828125
11.0,3.0,0.008918458839510762,0.00703120231628418,0.049666643142700195
10.0,2.0,0.004717166257988479,0.0033922195434570312,0.002637147903442383
15.0,2.0,0.0009071537826418788,0.10870766639709473,0.014075517654418945
13.0,3.0,0.011110824886190994,0.027028322219848633,0.14729928970336914
10.0,3.0,0.00500608836455876,0.0033884048461914062,0.028793811798095703
13.0,2.0,0.008384887687644229,0.02871990203857422,0.017476320266723633
13.0,3.0,0.004770176058693201,0.0305633544921875,0.1602487564086914
10.0,2.0,0.006722955105198466,0.0038213729858398438,0.002866506576538086
11.0,3.0,0.0008497165892207125,0.007578372955322266,0.04978656768798828
10.0,2.0,0.002306429680345842,0.003391742706298828,0.0027053356170654297
13.0,4.0,0.0001567112146481437,0.027462244033813477,1.1966354846954346
11.0,4.0,0.004228163420888881,0.006849527359008789,0.27660441398620605
