N,Permanent,Error,
10,404894.0,0.13807564448966891,
15,22010275394.0,0.629175072010914,
15,41105904876.0,0.30914913957823076,
13,272587904.0,0.08629207552804691,
14,3630906020.0,-0.433662014749696,
12,21780107.0,-0.3602147133620602,
15,49378499768.0,-0.06335880425757336,
14,3188595420.0,-0.13637008234804526,
15,53855182750.0,-0.044252163455893063,
12,39316596.0,0.14979909925738902,
14,2196205352.0,-0.047005837548837734,
10,271060.0,0.1868270247669642,
15,57199808148.0,0.08185125935887808,
10,190854.0,-0.22738847495991701,
11,2201094.0,-0.1031732402160019,
13,189812304.0,0.10555699276481044,
12,19739670.0,-0.13190038131336543,
14,4917197658.0,0.22791563242870133,
11,1433471.0,-0.12938594502435,
13,256090230.0,-0.42246293425563325,
15,87704234038.0,0.2389236737752125,
10,359593.0,0.10050343953673561,
10,634460.0,0.23569649780916055,
12,38287336.0,-0.8127840495353346,
14,4243978514.0,-0.008025138178162076,
15,63710252428.0,0.1176367332788368,
12,19348302.0,0.20791168134547394,
13,652365436.0,-0.11841895927791019,
13,164568607.0,0.2005205828837088,
10,105415.0,1.09376907144777,
15,26784687786.0,0.7057357683250765,
14,3148263100.0,0.10653013720486067,
13,127897264.0,-0.30504220950340266,
12,20964096.0,0.2734915924826904,
12,24144672.0,0.23080294208731997,
14,915978564.0,0.41431432013293273,
15,59472232594.0,0.6425466026620175,
12,24704718.0,-0.46304669415777183,
15,38176692936.0,-0.08450505310683468,
13,419376888.0,-0.026555798182183087,
15,27651817966.0,-0.5354241541805469,
10,252838.0,1.4186237828174557,
10,483640.0,-0.12309431257409101,
12,38449549.0,-0.09292043971699122,
12,18079100.0,-0.6465664773135831,
13,512950658.0,-0.1012019717498832,
11,4803066.0,-0.07309206244511318,
10,278860.0,-0.3814817471132468,
13,204157121.0,0.5034694773149742,
15,107434073280.0,0.16997560898958777,
15,14822548778.0,-0.6717131396981935,
11,2881354.0,-0.20677292689478627,
13,292476742.0,-0.6693428156417306,
13,173458086.0,-0.06876647998986914,
13,287401750.0,-0.022224909903993277,
15,96565645932.0,0.6182450652278629,
12,22750444.0,-0.26024007853795433,
12,29248526.0,1.294320746283078,
12,17300568.0,0.8822040987324812,
15,55670099135.0,0.22860079401221997,
13,345554776.0,-0.2123969370343763,
12,34444620.0,-0.12257066560757529,
11,2474058.0,-0.3073727455055621,
12,30465174.0,-0.27341035373702444,
11,833140.0,1.6550159637035793,
11,3848640.0,-0.19331504115739587,
12,45191910.0,0.4239433562334496,
14,2228653926.0,-0.2595036040602385,
14,4720029984.0,-0.24398039586690898,
12,15358849.0,-0.003125299298144021,
14,2102727866.0,-0.17504493660426906,
15,24478922030.0,-0.15039647029751171,
11,2843764.0,0.6234258539034885,
10,661548.0,0.644627449557704,
15,95638446624.0,-0.25317130796982107,
13,390939788.0,0.7395620012972433,
14,1658812734.0,0.34537677596583966,
13,169615272.0,-0.044958451618672464,
13,364537302.0,0.21958561047341016,
12,16564532.0,-0.39912096520445006,
11,3973844.0,0.06319221388660451,
10,221675.0,0.1728882372843125,
14,1319633222.0,0.04406494246323241,
14,4002985712.0,-0.7724962151950844,
15,39862464212.0,-0.5836757127773323,
15,54880877206.0,0.6249209659179878,
12,17460204.0,-1.0,
12,34469406.0,-0.2104302580671104,
14,1943676312.0,0.5131783732928469,
13,104578402.0,0.1780635164037024,
12,35340168.0,-0.628633344357616,
14,2173514796.0,-0.7692008755021146,
12,66536556.0,-0.33341906064389626,
11,3071966.0,-0.10561510120880244,
12,11648680.0,-0.5735633565348177,
12,28893274.0,1.5304712785404653,
14,6266821096.0,-0.24241632443754701,
12,56906184.0,1.2010495965312542,
12,46084066.0,0.0806546453605027,
11,5384300.0,-0.222700072432814,
15,122219564892.0,0.01898919465186145,
10,299742.0,-0.8754484412150005,
