N,Permanent,Error,Epochs
13,309243677.0,0.16326454752379627,6
10,734664.0,0.057463003495475486,5
14,2524058509.0,0.11541936684955031,6
12,19602911.0,0.17160017713695686,6
13,230001324.0,0.07587298497464301,6
12,32272537.0,-0.007955060985753925,6
12,39406992.0,0.10515707466329834,6
15,120076279404.0,0.07470963414695177,6
15,48804868104.0,0.19859648503395125,6
15,111707647710.0,0.15695294478419555,6
10,361440.0,0.06528054448871182,6
10,549968.0,0.1598020248450819,5
10,275243.0,0.09488706343122259,6
15,35894256418.0,0.05653342265595446,7
12,29896310.0,0.27442620845181226,6
12,12562912.0,0.14723608666525723,7
11,4232152.0,0.03665062124422752,6
12,43365122.0,0.014153816977616251,6
10,125364.0,0.3771976005870904,6
15,51406631936.0,0.20113419433649316,6
11,2745762.0,0.11164805980999082,6
11,2114586.0,0.22621402014389577,6
12,41754460.0,0.04793978894709691,6
11,9552480.0,0.058621635428705424,5
10,132296.0,0.13648182862671585,6
10,699128.0,0.008659358515178909,5
10,259932.0,0.15068556391671667,6
15,46434935772.0,0.04952412582826647,6
14,4955547832.0,0.023714994382885417,6
15,68914884602.0,0.12978584245848723,6
11,3430206.0,0.005314841149481985,6
13,115690444.0,0.37411756324489515,7
14,2212881741.0,0.20286103034007547,6
15,25049754588.0,0.08467987247332788,7
15,30125532692.0,0.22043538037631058,7
15,41726900034.0,0.2522520409238029,6
11,1034306.0,0.034998346717509135,6
11,2766971.0,0.13445966726792583,6
13,548227083.0,0.0631550521191599,6
14,2010903075.0,0.19966814114101447,6
15,71062277406.0,0.0646799902392647,6
12,17613595.0,0.17629081399907287,6
13,181428270.0,0.09372857934433261,7
10,433234.0,0.15656896734789974,5
15,38648445204.0,0.08115411112774554,7
10,188138.0,0.04637553285354368,6
13,856358664.0,0.058660432960832405,6
10,450578.0,-0.023618552170767325,6
13,211066998.0,0.14899297520685825,6
10,388584.0,0.11429703744878843,6
10,384029.0,-0.002812287613695841,6
11,2509358.0,0.10680102241290401,6
11,1607371.0,0.07074346868271233,6
11,2244164.0,-0.02286731272759032,6
14,2248816441.0,0.010512520972804468,7
14,2041708228.0,-0.009705610590310066,7
10,399818.0,0.0490498176670385,6
14,1846533564.0,0.1116141720996088,7
12,50397382.0,0.042488615777700516,6
15,15559576501.0,0.23157345694906456,7
10,204148.0,0.13482375531477164,6
12,27777904.0,-0.024537380502143,6
14,2647418352.0,0.11314416921440151,7
10,292958.0,0.29086763290301,6
11,5139640.0,0.05943509662155326,5
11,3775956.0,0.05193598654221607,6
15,27477085536.0,0.4018059507998032,7
15,43947858472.0,0.11341477851931316,7
13,196738756.0,0.06341962434691821,6
15,39655377444.0,0.1729086986672334,7
12,31231343.0,0.13618024687571073,6
10,362368.0,0.08098397209466619,6
10,596408.0,0.042638596397097286,5
13,336120691.0,0.005618582998807413,6
14,7581546492.0,0.13248502427042824,6
12,27403326.0,0.04939794534429872,6
10,153540.0,0.46375537319265336,6
14,3681663880.0,0.13199635486550718,6
15,25486187910.0,0.1576385445397903,7
12,36104965.0,0.07438882713222406,6
11,3131956.0,-0.010101035902164653,6
12,44685492.0,0.2840618829932543,6
14,4547605700.0,0.0852528665798796,6
11,2699608.0,0.007593324660469224,6
15,29988217942.0,0.11566097364332674,7
10,305130.0,0.08235506177694753,6
12,56611416.0,0.040009421421290714,6
13,630068708.0,0.020070061946323478,6
14,1837020723.0,0.1803659996055472,7
12,21489548.0,0.16708280695340824,6
14,4119060912.0,0.1905104400650825,6
10,497945.0,-0.026575224171344225,6
13,183425447.0,0.09435136881525495,7
15,119036141590.0,0.09484992084075161,6
14,3709506935.0,0.1292994682054692,6
12,13381099.0,0.22835217047568365,6
13,361901210.0,0.10881999814258704,6
11,3793724.0,0.015733616889367807,6
15,50207545464.0,0.22265214028468044,6
13,182212372.0,0.09798051473694662,7
12,33687550.0,0.20115342314890813,6
13,399071688.0,0.1259304593915467,6
13,202688500.0,0.010769081620318864,7
14,7350508042.0,0.05718748875562416,6
14,2007617971.0,0.10300658242115328,7
12,60985374.0,0.1714782465710549,6
12,36568670.0,0.04941653606762291,6
13,429858576.0,0.23430280241750953,6
10,244198.0,0.07699899262074218,6
13,566801746.0,0.07348175670580945,6
15,46509997766.0,0.08759996462477576,6
13,563703970.0,0.05436172287379846,6
15,32706153030.0,0.07168430468876823,7
12,33802506.0,0.15299164505732207,6
14,1521736091.0,0.0913998319568015,7
11,2448184.0,0.4212424392937786,6
11,2161641.0,0.08552576491656108,6
14,6229121862.0,0.04335536067250566,6
10,708912.0,0.003209143024804207,5
13,330124850.0,0.09753701667717532,6
15,28426892588.0,0.0870125253874618,7
14,3946597828.0,0.1797337737246634,6
11,2266962.0,0.11181263735342718,6
15,9923365306.0,0.12888456471784754,7
10,308946.0,0.10497303735927961,6
10,154870.0,0.03292438819655195,6
10,690480.0,0.1395246784845325,5
10,65964.0,0.42773330907767876,7
14,4052202720.0,0.15893167210548637,6
14,4678565516.0,0.07738098606547332,6
11,5094258.0,0.07917207962376464,5
10,301518.0,0.11233491864498968,6
14,2635843674.0,0.08129148519450474,7
11,4181520.0,0.15493385180508523,6
13,994396944.0,0.026514054733458633,5
13,649621180.0,0.07678515500372078,6
11,4666505.0,0.07095545809979846,6
10,170798.0,0.14887762151781636,6
11,3058796.0,0.04363743119841925,6
11,2363044.0,0.134416456062604,6
15,38346812128.0,0.014238599734899977,7
11,8655228.0,0.04250379077246723,5
13,350567522.0,0.060419210767619254,6
11,1331048.0,0.12959788076763573,6
13,714825000.0,0.055988469905221556,6
13,375193950.0,0.18343423448059332,6
10,138872.0,0.3571634310732185,6
12,27482584.0,0.052839645646129925,6
14,3134694174.0,0.12479519317854833,6
11,1884030.0,0.0026220389271933036,6
15,75306133207.0,0.06504474775694215,6
11,1588200.0,0.2587237123787936,6
11,3364430.0,0.17255285442110552,6
13,260074865.0,0.17695499716975727,6
12,30758196.0,0.06662812734530985,6
12,33340824.0,0.2877478373060006,6
10,495960.0,0.006069037825631099,5
10,310797.0,0.0564033758369611,6
12,9568096.0,-0.0203530566582944,6
12,14499005.0,0.1871385657153715,6
15,83336097561.0,0.02698837600781233,6
11,2335428.0,0.3098622607933107,6
13,408904656.0,0.15343788357352428,6
12,49934322.0,0.21627671243839058,6
12,37236660.0,0.03012208936032394,6
13,214359970.0,0.1553967888687426,6
12,35075712.0,0.21726635228388236,6
15,21371574594.0,0.06684802608793683,7
11,7085706.0,0.0765844645544142,5
11,2780045.0,0.07087798938506391,6
12,31831370.0,-0.0018856869811132854,6
13,399049960.0,0.037297274757276004,6
14,5240965372.0,0.03484074193192361,6
13,82628450.0,0.19665632115814832,7
10,497266.0,0.11913945453741057,6
13,243754332.0,0.33024801380760693,6
13,153787050.0,0.2686276250178412,6
11,2494608.0,-0.018955282753843488,6
13,645111932.0,0.08876891305120055,6
15,26039106392.0,0.13450064112323015,7
14,3746211242.0,0.01804788054714828,6
14,2087400466.0,0.15618100374612065,7
12,39154778.0,0.16973624521635647,6
10,438678.0,0.13365156219368193,6
11,4885400.0,0.008739918942154173,6
13,200843072.0,0.11983304059400167,6
14,1027274510.0,0.3735696128583975,7
11,5559456.0,0.08046866455998572,5
15,21608335456.0,0.0559221521463592,7
12,17017889.0,0.08721246213322933,6
14,3351162624.0,0.057432984189310414,6
11,2886744.0,0.6474893513245372,6
12,30545555.0,0.15132921958694154,6
14,4218940866.0,0.20992901302257788,6
14,3086564574.0,0.14655365185306504,6
14,1965087236.0,0.12290259209642539,6
14,3639024036.0,0.05448991516361614,6
11,2972300.0,0.058589644383137636,6
10,708616.0,0.01770916829425246,5
13,566549904.0,0.12619667481225097,6
10,484968.0,0.13793281206182675,5
