N,Permanent,Error,Epochs
14,540663942.0,0.026283234446464614,6
11,278718.0,0.5374049258147485,7
10,138016.0,0.28817439862073874,6
10,57578.0,0.28106281577612124,7
10,128675.0,0.029443876607515587,6
11,677240.0,0.43522540722824365,7
13,62134552.0,0.29739206894858405,7
14,254578402.0,0.08794484377641483,8
12,8570102.0,0.00031096576110238827,7
15,2241368270.0,0.19534706372668198,9
15,2591816080.0,0.10224525630166746,9
12,3516784.0,0.2636431117801919,7
12,8378942.0,0.14781679649566598,7
12,22233904.0,-0.020229889755586785,6
14,343270259.0,0.5566272457893313,7
15,6577334581.0,0.2025622234317846,7
10,134420.0,0.1982379263477938,6
11,821042.0,0.26613878185577056,7
12,2019669.0,0.34764359622450924,7
14,136405446.0,0.9224400688654324,8
11,407626.0,0.5429786123634321,7
14,366363123.0,0.27933932797314964,7
11,549302.0,0.09842021150009007,7
10,120825.0,-0.032970002124991064,6
11,561310.0,0.22714154289837063,7
14,936389800.0,0.15972706355602762,7
12,6019660.0,0.35725190474800933,7
10,46894.0,0.06606871573509143,7
14,442949718.0,0.16472093729613557,7
11,2103324.0,0.13440309624832986,6
13,37266607.0,0.009350584014172764,7
11,618210.0,0.04585960654018246,7
12,2547346.0,0.8636633876089769,7
11,376985.0,0.4348609794780191,7
13,46521252.0,0.30724475684181307,7
11,688746.0,0.41931560569189646,6
13,18020151.0,0.36244740186080476,6
10,112957.0,0.3369640522571979,6
15,2388872369.0,0.5255003166964574,8
14,715034039.0,0.2964272310425343,7
13,22294196.0,0.374199942164793,7
11,2211473.0,0.2627119710001926,6
11,717622.0,0.08396618615407166,6
15,3462876384.0,0.4666061422256182,6
14,210294096.0,0.6565370960060384,7
13,22070529.0,0.11156317031687112,6
12,4943432.0,0.2622054175113113,7
12,2933734.0,0.3615637398948454,7
10,284136.0,0.0475343127764866,6
11,79886.0,0.34236241726052913,7
14,3377937330.0,0.09749587322692334,6
12,2777493.0,-0.00593848715543412,7
12,3149714.0,0.8211839523735563,7
12,444347.0,0.4713569900326497,9
15,7096740838.0,0.32763261086794315,7
13,45269076.0,0.17452923914928684,7
